Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54326395,"The Dating Plan (Marriage Game, #2)",Sara Desai,"Desai, Sara",,"=""0593100581""","=""9780593100585""",4,3.64,Berkley,Paperback,352,2021,2021,2022/07/24,2022/07/16,,,read,"Okay listen, I loved this book! I liked it a WHOLE lot more than The Marriage Game. The only reason this didn't get 5 stars was because as a hockey fan, I could not handle when they said halftime FOUR TIMES IN FIVE PAGES! There is no half time in hockey! I can understand one slip, I can understand if the author didn't catch this, but the editors and the publisher?! How did so many people miss this?! There are three periods. There are two intermissions. There is NO HALFTIME!!! <br/><br/>Okay rant over. Besides that, I loved this book ",,,1,0
51588815,The Marriage Game (Marriage Game #1),Sara Desai,"Desai, Sara",,"=""0593100565""","=""9780593100561""",4,3.52,Berkley,Paperback,338,2020,2020,2022/07/23,2022/07/14,,,read,,,,1,0
57246632,"The Singles Table (Marriage Game, #3)",Sara Desai,"Desai, Sara",,"=""0593100603""","=""9780593100608""",0,3.71,Berkley,Paperback,322,2021,2021,,2022/07/16,to-read,to-read (#69),to-read,,,,0,0
50520939,"The Atlas Six (The Atlas, #1)",Olivie Blake,"Blake, Olivie",,"=""""","=""""",0,3.63,,Kindle Edition,556,2020,2020,,2021/12/20,to-read,to-read (#68),to-read,,,,0,0
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,"=""1442408928""","=""9781442408920""",0,4.32,Simon & Schuster Books for Young Readers,Hardcover,390,2012,2012,,2022/07/11,to-read,to-read (#67),to-read,,,,0,0
55871316,So We Meet Again,Suzanne Park,"Park, Suzanne",,"=""0062990713""","=""9780062990716""",0,3.50,Avon,Paperback,339,2021,2021,,2022/07/14,to-read,to-read (#66),to-read,,,,0,0
57558144,"With You Forever (Bergman Brothers, #4)",Chloe Liese,"Liese, Chloe",,"=""""","=""""",0,4.14,Chloe Liese,Kindle Edition,350,2021,2021,,2022/07/14,to-read,to-read (#65),to-read,,,,0,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.42,Ecco,Hardcover,360,2022,2022,,2022/07/14,to-read,to-read (#64),to-read,,,,0,0
58724801,The Bodyguard,Katherine Center,"Center, Katherine",,"=""1250219396""","=""9781250219398""",5,4.00,St. Martin's Press,Hardcover,309,2022,2022,2022/07/13,2022/07/13,,,read,"I got an advanced copy of this book in my Book of the Month subscription box. I really enjoyed it! Do I normally like my rom coms spicier? Yes. But was this a fantastic read  that I basically read in a day? Yes! I really liked the character development and how the story moved. The one critism I have is that the MC is established as a bad ass who is always aware of her surroundings but as soon as she gets to the ranch it feels like all of that character development goes out the window. I know why they did it for the story but I didnt like what it did for the characters. Besides that, this was a fantastic book. Definitely recommend!",,,1,0
52739476,The Love Study (The Love Study #1),Kris Ripper,"Ripper, Kris",,"=""1488076863""","=""9781488076862""",0,3.51,Carina Press,ebook,,2020,2020,,2022/07/12,to-read,to-read (#63),to-read,,,,0,0
58283080,"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,"Bailey, Tessa",,"=""0063045699""","=""9780063045699""",5,3.95,Avon,Paperback,400,2022,2022,2022/07/11,2022/07/07,,,read,,,,1,0
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"Bailey, Tessa",,"=""0063045656""","=""9780063045651""",5,3.98,Avon,Paperback,385,2021,2021,2022/07/06,2022/07/04,,,read,,,,1,0
58724787,"Booked on a Feeling (A Sweet Mess, #3)",Jayci Lee,"Lee, Jayci",,"=""1250621143""","=""9781250621146""",0,3.32,St. Martin's Griffin,Paperback,312,2022,2022,,2022/07/04,to-read,to-read (#62),to-read,,,,0,0
58950653,The Godparent Trap,Rachel Van Dyken,"Dyken, Rachel Van","Jacob York, Maria Liatis","=""1549166204""","=""9781549166204""",0,3.75,Forever,Audiobook,8,2022,2022,,2022/07/04,to-read,to-read (#61),to-read,,,,0,0
59447597,Nothing But the Truth,Holly   James,"James, Holly",,"=""0593186508""","=""9780593186503""",0,3.56,Dutton,Paperback,304,2022,2022,,2022/07/04,to-read,to-read (#60),to-read,,,,0,0
